TARGET_B;MONTHS_SINCE_ORIGIN;DONOR_AGE
0;101;87.0
1;137;79.0
0;113;75.0
0;92;
0;101;74.0
0;101;63.0
0;89;71.0
1;89;79.0
0;89;41.0
1;101;63.0
0;113;
0;113;
0;89;
0;101;
1;137;
0;125;73.0
1;77;81.0
0;65;76.0
0;125;
0;101;69.0
1;77;45.0
0;65;71.0
0;89;43.0
1;89;87.0
0;89;55.0
1;77;77.0
1;89;37.0
0;89;52.0
1;17;30.0
0;89;43.0
0;89;77.0
0;89;
0;89;37.0
1;89;67.0
0;89;65.0
0;89;77.0
1;53;59.0
1;137;75.0
0;101;42.0
0;89;
0;41;
1;5;
1;89;79.0
1;89;58.0
0;77;
1;29;
0;89;45.0
1;77;56.0
0;125;80.0
0;137;82.0
1;89;82.0
0;89;64.0
0;29;
0;89;75.0
1;89;
0;89;58.0
0;137;48.0
1;125;85.0
1;77;
0;89;59.0
0;77;47.0
1;89;
0;137;76.0
1;113;80.0
0;77;42.0
0;89;70.0
0;53;
0;77;
0;29;56.0
0;137;
1;77;81.0
0;137;70.0
0;137;63.0
0;77;40.0
1;65;32.0
0;41;53.0
0;89;
1;113;82.0
1;137;79.0
0;65;73.0
0;65;45.0
0;137;86.0
0;137;
0;101;75.0
0;77;54.0
0;77;33.0
1;101;75.0
1;65;73.0
0;113;
0;113;60.0
1;125;67.0
0;65;67.0
1;77;52.0
0;65;49.0
1;77;71.0
1;125;87.0
0;137;7.0
0;65;17.0
0;65;86.0
0;77;52.0
1;65;57.0
0;77;78.0
0;41;
0;65;65.0
0;65;57.0
0;101;47.0
0;77;57.0
1;65;50.0
1;89;53.0
0;65;39.0
0;77;
1;29;57.0
0;89;82.0
1;89;54.0
1;137;66.0
0;137;66.0
1;137;75.0
0;137;39.0
1;77;
1;113;
0;137;50.0
1;137;
1;125;69.0
1;137;66.0
0;65;50.0
0;125;63.0
1;77;69.0
1;101;55.0
1;137;86.0
0;29;78.0
0;53;32.0
0;17;56.0
0;89;79.0
1;77;
1;65;49.0
0;125;63.0
0;29;71.0
0;137;71.0
0;65;
1;29;47.0
1;101;75.0
0;89;80.0
0;137;85.0
1;77;54.0
0;53;59.0
0;29;65.0
0;53;
0;65;
0;65;
1;137;40.0
0;65;71.0
1;53;75.0
0;113;49.0
0;65;51.0
0;137;
0;77;69.0
0;101;72.0
0;53;76.0
0;65;33.0
1;29;38.0
0;29;
0;65;
0;65;
0;65;47.0
0;137;49.0
0;125;49.0
0;41;61.0
0;65;51.0
0;41;
1;53;45.0
0;53;68.0
1;53;81.0
1;41;49.0
0;137;78.0
1;29;75.0
0;17;55.0
0;29;45.0
0;89;47.0
1;101;50.0
0;41;
0;137;
1;137;67.0
1;29;67.0
0;29;
0;29;78.0
1;125;45.0
1;29;79.0
0;29;76.0
0;29;74.0
0;137;
1;41;
0;65;79.0
0;89;
1;77;
0;29;43.0
0;65;57.0
0;89;55.0
0;29;
0;101;43.0
0;29;57.0
0;125;82.0
1;89;49.0
0;41;60.0
0;125;76.0
0;29;73.0
1;137;81.0
1;29;72.0
1;89;39.0
0;65;81.0
1;17;39.0
0;29;37.0
0;113;76.0
0;113;
0;77;52.0
0;17;61.0
0;17;63.0
0;125;51.0
1;137;75.0
0;89;80.0
1;137;73.0
0;77;73.0
0;41;
0;29;
0;29;57.0
1;113;
1;65;52.0
0;41;
0;113;87.0
0;65;57.0
1;113;47.0
1;137;73.0
1;137;77.0
1;113;78.0
0;101;
0;137;43.0
0;41;45.0
1;101;67.0
1;65;37.0
0;17;
1;41;24.0
0;77;79.0
1;77;65.0
0;113;67.0
0;29;
0;77;53.0
0;41;
1;137;57.0
0;89;59.0
0;65;
0;89;
1;65;
0;89;80.0
1;137;
1;89;16.0
1;113;66.0
0;89;51.0
0;137;37.0
0;41;84.0
1;53;43.0
1;65;49.0
0;89;47.0
0;65;44.0
1;5;
0;53;49.0
1;113;34.0
1;17;42.0
0;125;69.0
0;101;83.0
0;137;82.0
0;17;81.0
1;77;56.0
0;77;78.0
1;137;68.0
0;89;
0;77;73.0
0;65;68.0
1;137;
0;17;63.0
0;17;79.0
0;17;68.0
1;17;71.0
1;29;
0;17;41.0
0;41;67.0
0;89;44.0
0;17;56.0
1;77;75.0
1;19;55.0
0;29;55.0
1;29;
0;17;72.0
0;101;66.0
0;113;
0;17;69.0
0;17;87.0
0;17;
1;41;58.0
0;137;86.0
0;89;73.0
0;137;72.0
1;29;
0;41;80.0
0;53;77.0
1;77;35.0
1;17;52.0
1;29;
0;53;
0;21;
1;137;29.0
0;29;72.0
0;53;
0;65;67.0
1;137;
0;77;61.0
1;113;60.0
1;17;
0;137;16.0
1;137;81.0
0;113;86.0
1;17;
0;53;33.0
1;77;
1;113;74.0
0;89;79.0
0;77;
0;29;17.0
0;113;76.0
0;41;48.0
0;125;69.0
0;41;65.0
0;125;72.0
1;77;49.0
0;137;57.0
0;113;29.0
1;65;
0;101;26.0
0;41;
0;29;
0;101;80.0
0;89;78.0
0;41;85.0
0;29;65.0
1;137;63.0
1;17;35.0
0;17;
0;101;67.0
0;17;44.0
0;137;77.0
0;65;87.0
0;89;67.0
0;41;
0;89;7.0
0;77;84.0
0;77;7.0
0;65;66.0
1;89;82.0
0;17;27.0
0;29;52.0
0;137;77.0
0;77;38.0
0;137;17.0
1;29;47.0
0;41;63.0
0;101;
0;113;17.0
0;77;72.0
0;17;
0;41;71.0
0;29;58.0
0;77;65.0
0;17;73.0
0;77;80.0
0;113;33.0
0;125;60.0
0;137;72.0
1;65;30.0
1;29;78.0
0;17;75.0
0;17;
0;41;
0;113;26.0
0;77;
1;101;86.0
1;65;81.0
1;29;37.0
1;137;
0;89;17.0
0;77;81.0
0;137;67.0
0;137;72.0
1;29;
0;137;46.0
1;29;
0;41;51.0
0;65;61.0
1;29;67.0
0;77;
1;113;55.0
1;17;64.0
0;17;73.0
0;101;73.0
0;137;
0;137;
0;137;77.0
1;137;58.0
0;113;37.0
0;125;
1;65;75.0
0;101;85.0
0;113;55.0
0;125;43.0
1;113;73.0
0;137;77.0
0;137;
0;89;
0;113;74.0
0;137;83.0
0;137;87.0
0;137;68.0
1;137;82.0
0;101;17.0
1;137;68.0
1;17;
1;113;31.0
0;137;
0;137;
1;65;
0;89;
0;137;
0;137;70.0
1;101;70.0
0;101;75.0
0;113;77.0
0;137;66.0
0;137;77.0
0;125;
0;101;7.0
1;89;65.0
1;137;68.0
1;137;63.0
0;101;59.0
1;29;46.0
0;101;55.0
0;53;74.0
0;65;67.0
0;89;39.0
0;89;75.0
0;65;
0;125;75.0
0;101;71.0
0;113;71.0
0;77;64.0
1;137;52.0
0;137;
0;65;
1;125;83.0
0;137;73.0
0;77;53.0
0;89;
1;89;57.0
1;137;7.0
0;77;
1;137;51.0
1;113;49.0
0;113;68.0
0;125;84.0
0;113;68.0
0;65;80.0
1;137;75.0
0;137;35.0
1;41;17.0
0;137;
0;137;85.0
0;137;79.0
0;137;57.0
1;125;87.0
1;101;87.0
0;113;
0;137;83.0
0;89;72.0
0;113;56.0
0;77;74.0
0;137;73.0
0;101;76.0
0;77;56.0
0;137;69.0
0;89;82.0
0;77;72.0
0;137;7.0
0;113;81.0
0;113;75.0
1;113;69.0
1;89;83.0
0;101;27.0
1;122;
0;113;83.0
0;137;69.0
1;137;81.0
0;53;56.0
0;137;84.0
0;137;79.0
0;65;77.0
0;89;83.0
1;113;72.0
0;65;75.0
1;137;74.0
0;77;66.0
0;137;50.0
1;113;73.0
0;65;74.0
0;113;62.0
0;137;74.0
0;65;
1;137;57.0
0;137;17.0
0;77;79.0
0;89;84.0
0;125;83.0
0;113;61.0
0;137;76.0
0;137;82.0
0;77;
0;137;
0;41;55.0
0;41;54.0
0;113;81.0
0;101;44.0
0;137;
1;137;
0;53;87.0
0;41;77.0
0;137;
0;137;53.0
1;41;23.0
0;137;71.0
0;77;60.0
0;137;69.0
1;89;
1;137;
1;137;58.0
0;137;87.0
0;113;78.0
0;137;68.0
1;65;77.0
0;41;65.0
0;137;
0;137;
0;113;44.0
0;125;83.0
0;77;
1;137;74.0
0;77;74.0
1;137;80.0
0;113;82.0
1;137;
1;125;75.0
1;113;
0;137;37.0
1;137;36.0
1;101;78.0
0;137;87.0
0;41;
0;41;
0;53;32.0
0;89;43.0
1;113;72.0
0;137;81.0
0;125;80.0
0;137;
0;137;
0;77;79.0
0;137;76.0
0;137;86.0
1;29;43.0
0;77;
1;113;
1;77;75.0
0;137;63.0
0;101;77.0
1;29;48.0
0;137;
1;137;61.0
0;113;7.0
0;137;72.0
0;113;36.0
0;125;49.0
0;53;72.0
0;137;
0;137;37.0
0;125;
1;137;84.0
0;127;74.0
0;137;77.0
1;137;85.0
1;137;79.0
1;29;74.0
1;65;76.0
0;125;75.0
1;137;78.0
0;137;78.0
0;137;70.0
0;113;81.0
0;89;45.0
0;65;43.0
1;125;86.0
1;125;62.0
1;137;78.0
0;65;
0;137;
0;125;
1;113;
0;113;
0;137;83.0
0;137;78.0
0;113;47.0
1;113;
0;125;
1;41;67.0
0;41;80.0
0;77;76.0
0;137;67.0
0;77;53.0
1;77;32.0
0;101;86.0
1;137;68.0
1;113;
0;125;72.0
1;113;80.0
0;113;80.0
0;41;36.0
0;77;80.0
1;53;80.0
0;137;81.0
0;125;87.0
0;77;75.0
0;89;
0;137;56.0
0;113;71.0
0;89;72.0
0;101;46.0
1;137;46.0
1;137;
1;113;81.0
0;125;
0;125;
0;137;87.0
0;65;81.0
0;101;74.0
1;125;47.0
0;77;
0;65;77.0
0;137;85.0
0;137;47.0
1;125;
0;137;84.0
0;125;
0;113;78.0
1;125;78.0
0;137;84.0
1;89;42.0
0;53;69.0
0;137;17.0
1;137;76.0
0;113;
0;89;85.0
1;77;86.0
0;137;47.0
1;137;73.0
0;125;67.0
1;89;72.0
0;101;65.0
1;113;86.0
0;113;71.0
0;137;75.0
0;137;80.0
0;125;
1;137;81.0
0;137;75.0
0;101;67.0
1;113;72.0
1;89;85.0
1;137;79.0
1;89;67.0
0;101;45.0
1;125;
0;89;87.0
0;137;
1;89;75.0
1;125;70.0
0;101;69.0
0;137;
1;65;72.0
0;137;80.0
0;77;55.0
1;137;
1;29;85.0
0;125;78.0
0;137;83.0
0;113;86.0
0;137;66.0
0;101;67.0
0;137;67.0
0;137;48.0
1;137;79.0
0;113;73.0
0;77;17.0
1;101;75.0
1;101;61.0
1;125;
0;137;7.0
1;101;75.0
1;113;
0;137;75.0
0;89;69.0
0;125;65.0
0;89;17.0
0;137;
0;53;80.0
1;137;31.0
0;137;55.0
0;113;
0;113;
0;101;76.0
0;113;
0;125;80.0
1;113;80.0
0;137;72.0
0;89;87.0
1;137;77.0
1;137;66.0
0;77;37.0
0;137;42.0
0;41;44.0
