TARGET_B,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PCT_MALE_MILITARY,PCT_MALE_VETERANS,PCT_VIETNAM_VETERANS,PCT_WWII_VETERANS,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,PER_CAPITA_INCOME
0,101,87,0,?,?,.,H,M,2,0,P,0,,554,294,76,0,0,0,0,1,0,A,1,0.067,15,0,0,1,0,19,45,297,35,8.49,15,20,5,15,5,12,26,92,11855
1,137,79,0,R,2,45,H,M,7,0,P,0,3,334,212,72,0,41,21,31,1,1,S,2,0.235,15,0.25,15,4,2,32,90,368,25,14.72,20,25,5,17,7,21,7,122,10385
0,113,75,0,S,1,11,H,F,5,0,P,0,9,2388,405,63,0,25,26,57,1,1,S,3,0.409,21.67,0.545,22.67,9,6,44,119,603,36,16.75,23,28,5,19,11,32,6,105,30855
0,92,,0,U,2,04,H,F,6,1,B,0,4,1688,153,3,0,25,32,42,1,0,A,3,0.474,13.44,0.4,13.5,9,4,31,96,435,37,11.76,14,17,3,15,11,33,6,92,16342
0,101,74,0,R,2,49,U,F,2,1,B,8,5,514,328,90,0,33,36,37,0,0,A,1,0.1,17.5,0.111,10,2,1,30,83,106,12,8.83,20,25,5,25,6,19,18,92,12107
0,101,63,0,U,3,08,U,M,3,0,P,0,,452,182,51,0,57,38,34,0,0,A,4,0.2,8.33,0.125,10,3,1,22,59,128,22,5.82,7,10,3,10,9,20,19,91,6851
0,89,71,0,R,3,50,H,M,5,0,P,0,7,376,122,68,0,17,11,51,1,4,A,1,0.167,18.67,0.273,18.67,3,3,29,72,220,20,11,15,20,5,20,7,18,21,91,5900
1,89,79,0,C,2,28,H,F,1,0,P,0,,1004,189,95,3,44,49,50,1,0,A,4,0.4,5,0.444,5,8,4,33,89,101,20,5.05,4,7,3,5,9,24,9,91,12667
0,89,41,0,C,3,30,H,F,4,0,P,0,,361,180,56,2,51,45,45,1,0,A,4,0.409,5,0.455,5,9,5,36,91,171,34,5.03,4,7,3,5,11,25,17,91,8132
1,101,63,0,R,2,43,H,F,4,1,B,0,,399,307,86,1,33,33,29,1,1,S,3,0.357,8.6,0.571,8.5,5,4,27,62,150,22,6.82,8,11,3,8,11,27,9,91,11428
0,113,,1,R,2,43,U,F,,0,N,0,2,119,179,41,0,43,0,70,1,1,S,4,0.409,8.67,0.364,8,9,4,45,123,273,37,7.38,7,10,3,10,11,35,4,110,6519
0,113,,0,R,3,53,U,F,,1,N,0,,168,163,79,0,33,22,43,0,0,A,1,0.095,80,0.182,80,2,2,39,94,516,14,36.86,80,85,5,85,9,21,20,105,9042
0,89,,0,R,1,42,U,F,,0,N,0,,770,256,80,0,32,19,39,1,1,S,4,0.524,3.5,0.7,4.5,11,7,36,98,100.5,33,3.05,14,15,1,2,11,27,15,91,13841
